Date : 2019-11-13 16:03:12
Directory : c:\Projects\admin-panel
Total : 184 files,  57559 codes, 3879 comments, 9708 blanks, all 71146 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| frontend\vendors\bower_components\datatables.net-buttons                                                   |          3 |         60 |          4 |          3 |         67 |
| frontend\vendors\bower_components\lightgallery                                                             |          7 |         53 |         15 |          0 |         68 |
| backend\middleware                                                                                         |          3 |         49 |         12 |          8 |         69 |
| frontend\vendors\bower_components\lightgallery\dist                                                        |          3 |         49 |          3 |          0 |         52 |
| frontend\vendors\bower_components\lightgallery\dist\fonts                                                  |          1 |         47 |          0 |          0 |         47 |
| frontend\vendors\bower_components\jquery-mask-plugin\dist                                                  |          1 |         16 |          2 |          1 |         19 |
| frontend\vendors\bower_components\jquery-mask-plugin                                                       |          1 |         16 |          2 |          1 |         19 |
| backend\config                                                                                             |          4 |         15 |          0 |          0 |         15 |
| backend\tests                                                                                              |          1 |         14 |          4 |          2 |         20 |
| backend\lib                                                                                                |          2 |         11 |         24 |          4 |         39 |
| frontend\vendors\bower_components\flatpickr\dist                                                           |          2 |          9 |          7 |          0 |         16 |
| frontend\vendors\bower_components\flatpickr                                                                |          2 |          9 |          7 |          0 |         16 |
| frontend\vendors\bower_components\fullcalendar\dist                                                        |          2 |          6 |          9 |          0 |         15 |
| frontend\vendors\bower_components\fullcalendar                                                             |          2 |          6 |          9 |          0 |         15 |
| frontend\vendors\bower_components\jszip\dist                                                               |          1 |          4 |         11 |          0 |         15 |
| frontend\vendors\bower_components\jszip                                                                    |          1 |          4 |         11 |          0 |         15 |
| frontend\vendors\bower_components\lightgallery\demo\js                                                     |          4 |          4 |         12 |          0 |         16 |
| frontend\vendors\bower_components\lightgallery\demo                                                        |          4 |          4 |         12 |          0 |         16 |
| frontend\vendors\bower_components\select2\dist                                                             |          2 |          4 |          0 |          1 |          5 |
| frontend\vendors\bower_components\select2                                                                  |          2 |          4 |          0 |          1 |          5 |
| frontend\vendors\bower_components\jquery\dist                                                              |          1 |          3 |          1 |          1 |          5 |
| frontend\vendors\bower_components\jquery                                                                   |          1 |          3 |          1 |          1 |          5 |
| frontend\vendors\bower_components\salvattore\dist                                                          |          1 |          3 |          4 |          0 |          7 |
| frontend\vendors\bower_components\salvattore                                                               |          1 |          3 |          4 |          0 |          7 |
| frontend\vendors\bower_components\select2\dist\js                                                          |          1 |          3 |          0 |          0 |          3 |
| frontend\vendors\jquery.sparkline                                                                          |          1 |          2 |          2 |          1 |          5 |
| frontend\vendors\bower_components\animate.css                                                              |          1 |          2 |          7 |          2 |         11 |
| frontend\vendors\bower_components\jqvmap\dist                                                              |          2 |          2 |          9 |          2 |         13 |
| frontend\vendors\bower_components\jqvmap                                                                   |          2 |          2 |          9 |          2 |         13 |
| frontend\vendors\bower_components\nouislider\distribute                                                    |          2 |          2 |          1 |          1 |          4 |
| frontend\vendors\bower_components\nouislider                                                               |          2 |          2 |          1 |          1 |          4 |
| frontend\vendors\bower_components\moment\min                                                               |          1 |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\moment                                                                   |          1 |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\sweetalert2\dist                                                         |          2 |          2 |          0 |          0 |          2 |
| frontend\vendors\bower_components\sweetalert2                                                              |          2 |          2 |          0 |          0 |          2 |
| frontend\vendors\bower_components\trumbowyg\dist                                                           |          2 |          2 |          2 |          0 |          4 |
| frontend\vendors\bower_components\trumbowyg                                                                |          2 |          2 |          2 |          0 |          4 |
| frontend\vendors\bower_components\bootstrap\dist\js                                                        |          1 |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\bootstrap\dist                                                           |          1 |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\bootstrap                                                                |          1 |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\dropzone\dist\min                                                        |          1 |          2 |          0 |          0 |          2 |
| frontend\vendors\bower_components\jquery-scrollLock                                                        |          1 |          1 |          8 |          1 |         10 |
| frontend\vendors\bower_components\autosize\dist                                                            |          1 |          1 |          5 |          0 |          6 |
| frontend\vendors\bower_components\autosize                                                                 |          1 |          1 |          5 |          0 |          6 |
| frontend\vendors\bower_components\jquery.easy-pie-chart\dist                                               |          1 |          1 |          8 |          0 |          9 |
| frontend\vendors\bower_components\jquery.easy-pie-chart                                                    |          1 |          1 |          8 |          0 |          9 |
| frontend\vendors\bower_components\remarkable-bootstrap-notify\dist                                         |          1 |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\remarkable-bootstrap-notify                                              |          1 |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\Waves\dist                                                               |          1 |          1 |          9 |          0 |         10 |
| frontend\vendors\bower_components\Waves                                                                    |          1 |          1 |          9 |          0 |         10 |
| frontend\vendors\bower_components\bootstrap-colorpicker\dist\js                                            |          1 |          1 |          4 |          0 |          5 |
| frontend\vendors\bower_components\jqvmap\dist\maps                                                         |          1 |          1 |          1 |          1 |          3 |
| frontend\vendors\bower_components\lightgallery\dist\css                                                    |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\tether\dist\js                                                           |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\tether\dist                                                              |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\tether                                                                   |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\trumbowyg\dist\ui                                                        |          1 |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\select2\dist\css                                                         |          1 |          1 |          0 |          1 |          2 |
| frontend\css                                                                                               |          1 |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\lightgallery\dist\js                                                     |          1 |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\material-design-iconic-font\dist\css                                     |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\material-design-iconic-font\dist                                         |          1 |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\material-design-iconic-font                                              |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| Dockerfile                                                                                                 | Dockerfile |          3 |          9 |          2 |         14 |
| admin pannel visitors.jmx                                                                                  | XML        |        308 |          0 |          1 |        309 |
| backend\.eslintrc.json                                                                                     | JSON       |         23 |          0 |          0 |         23 |
| backend\config\custom-environment-variables.json                                                           | JSON       |          3 |          0 |          0 |          3 |
| backend\config\default.json                                                                                | JSON       |          4 |          0 |          0 |          4 |
| backend\config\docker.json                                                                                 | JSON       |          4 |          0 |          0 |          4 |
| backend\config\test.json                                                                                   | JSON       |          4 |          0 |          0 |          4 |
| backend\demo\css\demo.css                                                                                  | CSS        |         83 |          0 |         19 |        102 |
| backend\demo\js\demo.js                                                                                    | JavaScript |         19 |          3 |          5 |         27 |
| backend\demo\js\flot-charts\bar.js                                                                         | JavaScript |         76 |          3 |          5 |         84 |
| backend\demo\js\flot-charts\chart-tooltips.js                                                              | JavaScript |         16 |          1 |          4 |         21 |
| backend\demo\js\flot-charts\curved-line.js                                                                 | JavaScript |        212 |         12 |         28 |        252 |
| backend\demo\js\flot-charts\dynamic.js                                                                     | JavaScript |         85 |          5 |         14 |        104 |
| backend\demo\js\flot-charts\line.js                                                                        | JavaScript |         68 |          3 |          7 |         78 |
| backend\demo\js\flot-charts\pie.js                                                                         | JavaScript |         51 |          3 |          3 |         57 |
| backend\demo\js\jqvmap.js                                                                                  | JavaScript |         20 |          1 |          2 |         23 |
| backend\demo\js\other-charts.js                                                                            | JavaScript |        116 |         14 |         12 |        142 |
| backend\index.js                                                                                           | JavaScript |         26 |          6 |          7 |         39 |
| backend\lib\files.js                                                                                       | JavaScript |          5 |         13 |          0 |         18 |
| backend\lib\user.js                                                                                        | JavaScript |          6 |         11 |          4 |         21 |
| backend\middleware\auth.js                                                                                 | JavaScript |         13 |          0 |          1 |         14 |
| backend\middleware\authView.js                                                                             | JavaScript |         31 |          4 |          6 |         41 |
| backend\middleware\error.js                                                                                | JavaScript |          5 |          8 |          1 |         14 |
| backend\models\Chat.js                                                                                     | JavaScript |         44 |          0 |          3 |         47 |
| backend\models\user.js                                                                                     | JavaScript |         59 |         53 |         15 |        127 |
| backend\package-lock.json                                                                                  | JSON       |      9,238 |          0 |          1 |      9,239 |
| backend\package.json                                                                                       | JSON       |         60 |          0 |          1 |         61 |
| backend\realTimeServer.js                                                                                  | JavaScript |         22 |          2 |          1 |         25 |
| backend\routes\main.js                                                                                     | JavaScript |        144 |         57 |         28 |        229 |
| backend\routes\users.js                                                                                    | JavaScript |        132 |         83 |         26 |        241 |
| backend\start.js                                                                                           | JavaScript |          4 |          1 |          1 |          6 |
| backend\startup\config.js                                                                                  | JavaScript |          6 |          4 |          0 |         10 |
| backend\startup\db.js                                                                                      | JavaScript |          8 |          0 |          2 |         10 |
| backend\startup\logging.js                                                                                 | JavaScript |         15 |          9 |          2 |         26 |
| backend\startup\prod.js                                                                                    | JavaScript |          6 |          0 |          1 |          7 |
| backend\startup\routes.js                                                                                  | JavaScript |         10 |          6 |          0 |         16 |
| backend\startup\socket.js                                                                                  | JavaScript |        126 |          4 |         16 |        146 |
| backend\startup\validation.js                                                                              | JavaScript |          5 |          0 |          1 |          6 |
| backend\tests\lib.test.js                                                                                  | JavaScript |         14 |          4 |          2 |         20 |
| docker-compose.yml                                                                                         | YAML       |         28 |          1 |          1 |         30 |
| docker-test.yml                                                                                            | YAML       |         24 |          1 |          1 |         26 |
| frontend\404.html                                                                                          | HTML       |         21 |         40 |          7 |         68 |
| frontend\alerts.html                                                                                       | HTML       |        570 |         41 |        125 |        736 |
| frontend\badges.html                                                                                       | HTML       |        533 |         41 |        117 |        691 |
| frontend\boxed-layout.html                                                                                 | HTML       |        870 |         42 |        175 |      1,087 |
| frontend\breadcrumbs.html                                                                                  | HTML       |        512 |         41 |        119 |        672 |
| frontend\buttons.html                                                                                      | HTML       |        794 |         42 |        168 |      1,004 |
| frontend\calendar.html                                                                                     | HTML       |        807 |         44 |        145 |        996 |
| frontend\cards.html                                                                                        | HTML       |        755 |         42 |        174 |        971 |
| frontend\carousel.html                                                                                     | HTML       |        610 |         41 |        120 |        771 |
| frontend\collapse.html                                                                                     | HTML       |        549 |         42 |        118 |        709 |
| frontend\colors.html                                                                                       | HTML       |        647 |         42 |        138 |        827 |
| frontend\contacts.html                                                                                     | HTML       |        845 |         41 |        198 |      1,084 |
| frontend\css-animations.html                                                                               | HTML       |        824 |         43 |        148 |      1,015 |
| frontend\css\app.min.css                                                                                   | CSS        |          1 |          1 |          0 |          2 |
| frontend\data-table.html                                                                                   | HTML       |        978 |         42 |        113 |      1,133 |
| frontend\demo\css\demo.css                                                                                 | CSS        |         83 |          0 |         19 |        102 |
| frontend\demo\js\demo.js                                                                                   | JavaScript |         19 |          3 |          5 |         27 |
| frontend\demo\js\flot-charts\bar.js                                                                        | JavaScript |         76 |          3 |          5 |         84 |
| frontend\demo\js\flot-charts\chart-tooltips.js                                                             | JavaScript |         16 |          1 |          4 |         21 |
| frontend\demo\js\flot-charts\curved-line.js                                                                | JavaScript |        212 |         12 |         28 |        252 |
| frontend\demo\js\flot-charts\dynamic.js                                                                    | JavaScript |         85 |          5 |         14 |        104 |
| frontend\demo\js\flot-charts\line.js                                                                       | JavaScript |         68 |          3 |          7 |         78 |
| frontend\demo\js\flot-charts\pie.js                                                                        | JavaScript |         51 |          3 |          3 |         57 |
| frontend\demo\js\jqvmap.js                                                                                 | JavaScript |         20 |          1 |          2 |         23 |
| frontend\demo\js\other-charts.js                                                                           | JavaScript |        116 |         14 |         12 |        142 |
| frontend\dropdowns.html                                                                                    | HTML       |        811 |         42 |        146 |        999 |
| frontend\empty.html                                                                                        | HTML       |        491 |         41 |        113 |        645 |
| frontend\flot-charts.html                                                                                  | HTML       |        556 |         42 |        124 |        722 |
| frontend\fonts\roboto\Roboto-Bold-webfont.svg                                                              | XML        |        593 |          0 |          0 |        593 |
| frontend\fonts\roboto\Roboto-Light-webfont.svg                                                             | XML        |        641 |          0 |          0 |        641 |
| frontend\fonts\roboto\Roboto-Medium-webfont.svg                                                            | XML        |        593 |          0 |          0 |        593 |
| frontend\fonts\roboto\Roboto-Regular-webfont.svg                                                           | XML        |        621 |          0 |          0 |        621 |
| frontend\form-components.html                                                                              | HTML       |      1,116 |         42 |        231 |      1,389 |
| frontend\form-elements.html                                                                                | HTML       |        726 |         41 |        165 |        932 |
| frontend\form-validation.html                                                                              | HTML       |        531 |         41 |        121 |        693 |
| frontend\groups.html                                                                                       | HTML       |        808 |         41 |        153 |      1,002 |
| frontend\hidden-sidebar-boxed-layout.html                                                                  | HTML       |        870 |         42 |        175 |      1,087 |
| frontend\hidden-sidebar.html                                                                               | HTML       |        868 |         42 |        175 |      1,085 |
| frontend\html-table.html                                                                                   | HTML       |        950 |         41 |        131 |      1,122 |
| frontend\icons.html                                                                                        | HTML       |      1,471 |         42 |        989 |      2,502 |
| frontend\index-2.html                                                                                      | HTML       |        868 |         42 |        175 |      1,085 |
| frontend\index.ejs                                                                                         | HTML       |        427 |         10 |         85 |        522 |
| frontend\invoice.html                                                                                      | HTML       |        597 |         41 |        133 |        771 |
| frontend\js\app.min.js                                                                                     | JavaScript |          1 |          0 |          0 |          1 |
| frontend\js\dynamic.js                                                                                     | JavaScript |         62 |         14 |          8 |         84 |
| frontend\jumbotron.html                                                                                    | HTML       |        508 |         41 |        119 |        668 |
| frontend\layout\ieWarning.ejs                                                                              | HTML       |         26 |          0 |          6 |         32 |
| frontend\layout\login\link.ejs                                                                             | HTML       |          4 |          1 |          1 |          6 |
| frontend\layout\login\loginSpecialScript.ejs                                                               | HTML       |        103 |          0 |          4 |        107 |
| frontend\layout\login\meta.ejs                                                                             | HTML       |          2 |          0 |          0 |          2 |
| frontend\layout\login\script.ejs                                                                           | HTML       |          6 |          2 |          1 |          9 |
| frontend\layout\main\chat.ejs                                                                              | HTML       |         65 |          1 |         15 |         81 |
| frontend\layout\main\content.ejs                                                                           | HTML       |          0 |          0 |          1 |          1 |
| frontend\layout\main\link.ejs                                                                              | HTML       |          6 |          0 |          1 |          7 |
| frontend\layout\main\messagesSpecialScript.ejs                                                             | HTML       |        161 |          0 |         18 |        179 |
| frontend\layout\main\meta.ejs                                                                              | HTML       |          2 |          0 |          2 |          4 |
| frontend\layout\main\pageHeader.ejs                                                                        | HTML       |        282 |          1 |         57 |        340 |
| frontend\layout\main\pageLoader.ejs                                                                        | HTML       |          7 |          0 |          0 |          7 |
| frontend\layout\main\script.ejs                                                                            | HTML       |         26 |          4 |          4 |         34 |
| frontend\layout\main\settingSpecialScript.ejs                                                              | HTML       |        241 |          0 |         12 |        253 |
| frontend\layout\main\sidebar.ejs                                                                           | HTML       |         28 |          0 |          5 |         33 |
| frontend\listview.html                                                                                     | HTML       |      1,028 |         41 |        185 |      1,254 |
| frontend\lockscreen.html                                                                                   | HTML       |         38 |         42 |         12 |         92 |
| frontend\login.ejs                                                                                         | HTML       |        116 |         12 |         24 |        152 |
| frontend\login.html                                                                                        | HTML       |        212 |         46 |         29 |        287 |
| frontend\messages.ejs                                                                                      | HTML       |         90 |        137 |         40 |        267 |
| frontend\messages.html                                                                                     | HTML       |        673 |        159 |        145 |        977 |
| frontend\modals.html                                                                                       | HTML       |        626 |         48 |        128 |        802 |
| frontend\navs.html                                                                                         | HTML       |        627 |         41 |        133 |        801 |
| frontend\notes.html                                                                                        | HTML       |        698 |         43 |        142 |        883 |
| frontend\notifications-alerts.html                                                                         | HTML       |        712 |         44 |        152 |        908 |
| frontend\other-charts.html                                                                                 | HTML       |        578 |         43 |        134 |        755 |
| frontend\pagination.html                                                                                   | HTML       |        599 |         41 |        133 |        773 |
| frontend\photo-gallery.html                                                                                | HTML       |        763 |         42 |        127 |        932 |
| frontend\popover.html                                                                                      | HTML       |        537 |         42 |        122 |        701 |
| frontend\pricing-tables.html                                                                               | HTML       |        682 |         41 |        121 |        844 |
| frontend\profile-about.html                                                                                | HTML       |        530 |         41 |        124 |        695 |
| frontend\profile-contacts.html                                                                             | HTML       |        853 |         41 |        202 |      1,096 |
| frontend\profile-photos.html                                                                               | HTML       |        772 |         42 |        131 |        945 |
| frontend\progress.html                                                                                     | HTML       |        580 |         41 |        142 |        763 |
| frontend\settings.ejs                                                                                      | HTML       |        121 |         45 |         32 |        198 |
| frontend\tabs.html                                                                                         | HTML       |        696 |         45 |        125 |        866 |
| frontend\todo-lists.html                                                                                   | HTML       |        776 |         42 |        149 |        967 |
| frontend\todos.html                                                                                        | HTML       |         70 |          3 |          3 |         76 |
| frontend\toolbars.html                                                                                     | HTML       |        569 |         41 |        128 |        738 |
| frontend\tooltips.html                                                                                     | HTML       |        518 |         42 |        118 |        678 |
| frontend\top-navigation.html                                                                               | HTML       |        780 |         42 |        154 |        976 |
| frontend\typography.html                                                                                   | HTML       |        752 |         41 |        172 |        965 |
| frontend\uploader.html                                                                                     | HTML       |         18 |          2 |          3 |         23 |
| frontend\vendors\bower_components\Clamp.js\clamp.js                                                        | JavaScript |        166 |         68 |         36 |        270 |
| frontend\vendors\bower_components\Waves\dist\waves.min.js                                                  | JavaScript |          1 |          9 |          0 |         10 |
| frontend\vendors\bower_components\animate.css\animate.min.css                                              | CSS        |          2 |          7 |          2 |         11 |
| frontend\vendors\bower_components\autosize\dist\autosize.min.js                                            | JavaScript |          1 |          5 |          0 |          6 |
| frontend\vendors\bower_components\bootstrap-colorpicker\dist\css\bootstrap-colorpicker.css                 | CSS        |        220 |         10 |          0 |        230 |
| frontend\vendors\bower_components\bootstrap-colorpicker\dist\js\bootstrap-colorpicker.min.js               | JavaScript |          1 |          4 |          0 |          5 |
| frontend\vendors\bower_components\bootstrap\dist\js\bootstrap.min.js                                       | JavaScript |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\datatables.net-buttons\js\buttons.html5.min.js                           | JavaScript |         25 |          0 |          1 |         26 |
| frontend\vendors\bower_components\datatables.net-buttons\js\buttons.print.min.js                           | JavaScript |          4 |          0 |          1 |          5 |
| frontend\vendors\bower_components\datatables.net-buttons\js\dataTables.buttons.min.js                      | JavaScript |         31 |          4 |          1 |         36 |
| frontend\vendors\bower_components\datatables.net\js\jquery.dataTables.min.js                               | JavaScript |        163 |          4 |          1 |        168 |
| frontend\vendors\bower_components\dropzone\dist\dropzone.css                                               | CSS        |        383 |          4 |          2 |        389 |
| frontend\vendors\bower_components\dropzone\dist\min\dropzone.min.js                                        | JavaScript |          2 |          0 |          0 |          2 |
| frontend\vendors\bower_components\flatpickr\dist\flatpickr.min.css                                         | CSS        |          7 |          6 |          0 |         13 |
| frontend\vendors\bower_components\flatpickr\dist\flatpickr.min.js                                          | JavaScript |          2 |          1 |          0 |          3 |
| frontend\vendors\bower_components\flot.curvedlines\curvedLines.js                                          | JavaScript |        274 |        134 |         76 |        484 |
| frontend\vendors\bower_components\flot.orderbars\js\jquery.flot.orderBars.js                               | JavaScript |        134 |         32 |         35 |        201 |
| frontend\vendors\bower_components\flot\jquery.flot.js                                                      | JavaScript |      2,239 |        404 |        526 |      3,169 |
| frontend\vendors\bower_components\flot\jquery.flot.pie.js                                                  | JavaScript |        526 |        128 |        167 |        821 |
| frontend\vendors\bower_components\flot\jquery.flot.resize.js                                               | JavaScript |         28 |         22 |         10 |         60 |
| frontend\vendors\bower_components\fullcalendar\dist\fullcalendar.min.css                                   | CSS        |          1 |          4 |          0 |          5 |
| frontend\vendors\bower_components\fullcalendar\dist\fullcalendar.min.js                                    | JavaScript |          5 |          5 |          0 |         10 |
| frontend\vendors\bower_components\jquery-mask-plugin\dist\jquery.mask.min.js                               | JavaScript |         16 |          2 |          1 |         19 |
| frontend\vendors\bower_components\jquery-scrollLock\jquery-scrollLock.min.js                               | JavaScript |          1 |          8 |          1 |         10 |
| frontend\vendors\bower_components\jquery.easy-pie-chart\dist\jquery.easypiechart.min.js                    | JavaScript |          1 |          8 |          0 |          9 |
| frontend\vendors\bower_components\jquery.scrollbar\jquery.scrollbar.css                                    | CSS        |        745 |         22 |        138 |        905 |
| frontend\vendors\bower_components\jquery.scrollbar\jquery.scrollbar.min.js                                 | JavaScript |          1 |         15 |          0 |         16 |
| frontend\vendors\bower_components\jquery\dist\jquery.min.js                                                | JavaScript |          3 |          1 |          1 |          5 |
| frontend\vendors\bower_components\jqvmap\dist\jquery.vmap.min.js                                           | JavaScript |          1 |          8 |          1 |         10 |
| frontend\vendors\bower_components\jqvmap\dist\maps\jquery.vmap.world.js                                    | JavaScript |          1 |          1 |          1 |          3 |
| frontend\vendors\bower_components\jszip\dist\jszip.min.js                                                  | JavaScript |          4 |         11 |          0 |         15 |
| frontend\vendors\bower_components\lightgallery\demo\js\lg-fullscreen.min.js                                | JavaScript |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\lightgallery\demo\js\lg-thumbnail.min.js                                 | JavaScript |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\lightgallery\demo\js\lg-video.min.js                                     | JavaScript |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\lightgallery\demo\js\lg-zoom.min.js                                      | JavaScript |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\lightgallery\dist\css\lightgallery.min.css                               | CSS        |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\lightgallery\dist\fonts\lgd641.svg                                       | XML        |         47 |          0 |          0 |         47 |
| frontend\vendors\bower_components\lightgallery\dist\js\lightgallery.min.js                                 | JavaScript |          1 |          3 |          0 |          4 |
| frontend\vendors\bower_components\material-design-iconic-font\dist\css\material-design-iconic-font.min.css | CSS        |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\moment\min\moment.min.js                                                 | JavaScript |          2 |          5 |          0 |          7 |
| frontend\vendors\bower_components\nouislider\distribute\nouislider.min.css                                 | CSS        |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\nouislider\distribute\nouislider.min.js                                  | JavaScript |          1 |          1 |          1 |          3 |
| frontend\vendors\bower_components\remarkable-bootstrap-notify\dist\bootstrap-notify.min.js                 | JavaScript |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\salvattore\dist\salvattore.min.js                                        | JavaScript |          3 |          4 |          0 |          7 |
| frontend\vendors\bower_components\select2\dist\css\select2.min.css                                         | CSS        |          1 |          0 |          1 |          2 |
| frontend\vendors\bower_components\select2\dist\js\select2.full.min.js                                      | JavaScript |          3 |          0 |          0 |          3 |
| frontend\vendors\bower_components\sweetalert2\dist\sweetalert2.min.css                                     | CSS        |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\sweetalert2\dist\sweetalert2.min.js                                      | JavaScript |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\tether\dist\js\tether.min.js                                             | JavaScript |          1 |          0 |          0 |          1 |
| frontend\vendors\bower_components\trumbowyg\dist\trumbowyg.min.js                                          | JavaScript |          1 |          1 |          0 |          2 |
| frontend\vendors\bower_components\trumbowyg\dist\ui\trumbowyg.min.css                                      | CSS        |          1 |          1 |          0 |          2 |
| frontend\vendors\jquery.sparkline\jquery.sparkline.min.js                                                  | JavaScript |          2 |          2 |          1 |          5 |
| frontend\widgets.html                                                                                      | HTML       |      1,209 |         42 |        234 |      1,485 |
| threads.js                                                                                                 | JavaScript |         17 |         20 |          3 |         40 |
| Total                                                                                                      |            |     57,559 |      3,879 |      9,708 |     71,146 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
